component_name,brand,price,color,type
Intel Core i9-13900KF,Intel Core i9-13900KF,488.84,,CPU
Intel Core i3-10100F,Intel Core i3-10100F,70.73,,CPU
AMD Threadripper 3970X,AMD Threadripper 3970X,1675.0,,CPU
AMD Ryzen 5 7500F,AMD Ryzen 5 7500F,,,CPU
Intel Core i7-14700F,Intel Core i7-14700F,369.55,,CPU
Intel Celeron E1400,Intel Celeron E1400,14.0,,CPU
AMD Ryzen 5 3600X,AMD Ryzen 5 3600X,210.0,,CPU
AMD Ryzen 7 2700X,AMD Ryzen 7 2700X,210.0,,CPU
Intel Core i9-9900K,Intel Core i9-9900K,405.0,Intel UHD Graphics 630,CPU
Intel Core i3-14100F,Intel Core i3-14100F,114.98,,CPU
Intel Core i7-10700K,Intel Core i7-10700K,247.25,Intel UHD Graphics 630,CPU
AMD Ryzen 9 3900X,AMD Ryzen 9 3900X,395.0,,CPU
Intel Core i5-11400F,Intel Core i5-11400F,115.98,,CPU
Intel Core i5-13500,Intel Core i5-13500,244.85,Intel UHD Graphics 770,CPU
Intel Core i3-12100,Intel Core i3-12100,116.98,Intel UHD Graphics 730,CPU
Intel Core i9-12900KF,Intel Core i9-12900KF,339.55,,CPU
Intel Core i7-12700F,Intel Core i7-12700F,249.99,,CPU
Intel Core i3-13100F,Intel Core i3-13100F,109.99,,CPU
Intel Core i5-9400F,Intel Core i5-9400F,95.99,,CPU
Intel Core i7-7700K,Intel Core i7-7700K,230.0,Intel HD Graphics 630,CPU
Intel Core i7-6700K,Intel Core i7-6700K,180.0,Intel HD Graphics 530,CPU
Intel Core i9-13900KS,Intel Core i9-13900KS,589.99,Intel UHD Graphics 770,CPU
AMD Ryzen 5 3600,AMD Ryzen 5 3600,119.99,,CPU
Intel Core i7-13700F,Intel Core i7-13700F,349.98,,CPU
AMD Ryzen 7 3800X,AMD Ryzen 7 3800X,285.0,,CPU
Intel Core i7-11700K,Intel Core i7-11700K,233.0,Intel UHD Graphics 750,CPU
AMD Ryzen 5 3400G,AMD Ryzen 5 3400G,98.15,Radeon Vega 11,CPU
Intel Core i5-9600K,Intel Core i5-9600K,137.0,Intel UHD Graphics 630,CPU
Intel Core i9-11900K,Intel Core i9-11900K,257.99,Intel UHD Graphics 750,CPU
Intel Core i5-10400,Intel Core i5-10400,130.0,Intel UHD Graphics 630,CPU
Intel Core i5-6500,Intel Core i5-6500,67.0,Intel HD Graphics 530,CPU
AMD Ryzen 5 2600X,AMD Ryzen 5 2600X,195.0,,CPU
Intel Core i7-8700,Intel Core i7-8700,200.0,Intel UHD Graphics 630,CPU
Intel Core i9-10900K,Intel Core i9-10900K,450.0,Intel UHD Graphics 630,CPU
Intel Core i7-14700,Intel Core i7-14700,399.98,Intel UHD Graphics 770,CPU
Intel Core i5-13400,Intel Core i5-13400,228.98,Intel UHD Graphics 730,CPU
Intel Core i5-8400,Intel Core i5-8400,124.0,Intel UHD Graphics 630,CPU
AMD Ryzen 5 5500GT,AMD Ryzen 5 5500GT,115.0,Radeon Vega 7,CPU
Intel Core i3-14100,Intel Core i3-14100,149.0,Intel UHD Graphics 730,CPU
Intel Core i7-4790K,Intel Core i7-4790K,,Intel HD Graphics 4600,CPU
Intel Core i7-6700,Intel Core i7-6700,128.0,Intel HD Graphics 530,CPU
Intel Core i7-10700F,Intel Core i7-10700F,218.99,,CPU
Intel Core i7-12700,Intel Core i7-12700,265.49,Intel UHD Graphics 770,CPU
Intel Core i9-12900KS,Intel Core i9-12900KS,369.0,Intel UHD Graphics 770,CPU
AMD Ryzen 3 3100,AMD Ryzen 3 3100,170.0,,CPU
Intel Core i5-4690K,Intel Core i5-4690K,53.0,Intel HD Graphics 4600,CPU
Intel Core i5-10600K,Intel Core i5-10600K,169.65,Intel UHD Graphics 630,CPU
AMD Ryzen 9 3950X,AMD Ryzen 9 3950X,495.0,,CPU
Intel Core i7-7700,Intel Core i7-7700,167.0,Intel HD Graphics 630,CPU
AMD Ryzen 5 5600GT,AMD Ryzen 5 5600GT,130.0,Radeon Vega 7,CPU
Intel Core i9-10850K,Intel Core i9-10850K,279.0,Intel UHD Graphics 630,CPU
AMD Threadripper 3960X,AMD Threadripper 3960X,1244.02,,CPU
Intel Core i5-11400,Intel Core i5-11400,136.5,Intel UHD Graphics 730,CPU
Intel Core i9-11900KF,Intel Core i9-11900KF,232.0,,CPU
AMD Ryzen 5 1600 (14nm),AMD Ryzen 5 1600 (14nm),256.07,,CPU
Intel Core i5-14400,Intel Core i5-14400,229.98,Intel UHD Graphics 730,CPU
Intel Core i7-4770,Intel Core i7-4770,74.95,Intel HD Graphics 4600,CPU
Intel Core i5-10600KF,Intel Core i5-10600KF,123.0,,CPU
Intel Core i7-11700F,Intel Core i7-11700F,201.99,,CPU
AMD Ryzen 7 2700,AMD Ryzen 7 2700,185.0,,CPU
Intel Core i7-6950X,Intel Core i7-6950X,804.98,,CPU
Intel Core i5-11600K,Intel Core i5-11600K,179.99,Intel UHD Graphics 750,CPU
Intel Core i5-6600K,Intel Core i5-6600K,130.0,Intel HD Graphics 530,CPU
Intel Core i3-10100,Intel Core i3-10100,93.74,Intel UHD Graphics 630,CPU
Intel Core i7-13700,Intel Core i7-13700,371.99,Intel UHD Graphics 770,CPU
Intel Core i5-12500,Intel Core i5-12500,195.98,Intel UHD Graphics 770,CPU
Intel Core i7-10700,Intel Core i7-10700,234.8,Intel UHD Graphics 630,CPU
AMD Ryzen 5 1600 (12nm),AMD Ryzen 5 1600 (12nm),120.0,,CPU
Intel Core i7-3770,Intel Core i7-3770,95.0,Intel HD Graphics 4000,CPU
Intel Core i3-10105F,Intel Core i3-10105F,79.78,,CPU
Intel Core i5-8600K,Intel Core i5-8600K,139.0,Intel UHD Graphics 630,CPU
Intel Xeon E5-2699 V4,Intel Xeon E5-2699 V4,190.0,,CPU
Intel Core i9-14900,Intel Core i9-14900,554.99,Intel UHD Graphics 770,CPU
AMD Ryzen 3 2200G,AMD Ryzen 3 2200G,130.0,Radeon Vega 8,CPU
Intel Core i9-10900KF,Intel Core i9-10900KF,255.0,,CPU
Intel Core i5-7500,Intel Core i5-7500,89.0,Intel HD Graphics 630,CPU
Intel Core i9-9900KF,Intel Core i9-9900KF,292.0,,CPU
AMD Ryzen 9 3950X,AMD Ryzen 9 3950X,2147.03,,CPU
AMD Athlon 200GE,AMD Athlon 200GE,69.98,Radeon Vega 3,CPU
Intel Core i7-9700,Intel Core i7-9700,250.26,Intel HD Graphics 630,CPU
Intel Core i5-7400,Intel Core i5-7400,90.35,Intel HD Graphics 630,CPU
Intel Core i7-4790,Intel Core i7-4790,145.1,Intel HD Graphics 4600,CPU
AMD Ryzen 7 5700,AMD Ryzen 7 5700,,,CPU
AMD Ryzen 5 2400G,AMD Ryzen 5 2400G,135.0,Radeon Vega 11,CPU
AMD Ryzen 5 3500X,AMD Ryzen 5 3500X,,,CPU
Intel Core i5-3470,Intel Core i5-3470,59.0,Intel HD Graphics 2500,CPU
Intel Xeon E5-2630 V2,Intel Xeon E5-2630 V2,,,CPU
Intel Core i9-14900F,Intel Core i9-14900F,528.99,,CPU
Intel Core i7-4770K,Intel Core i7-4770K,135.0,Intel HD Graphics 4600,CPU
AMD Ryzen 7 1700,AMD Ryzen 7 1700,195.0,,CPU
Intel Celeron G6900,Intel Celeron G6900,74.79,Intel UHD Graphics 710,CPU
Intel Celeron G5900,Intel Celeron G5900,40.43,Intel UHD Graphics 610,CPU
Intel Core i7-10700KF,Intel Core i7-10700KF,240.0,,CPU
Intel Core i7-9700F,Intel Core i7-9700F,289.0,,CPU
Intel Core i3-9100F,Intel Core i3-9100F,135.19,,CPU
AMD Ryzen 5 5600X3D,AMD Ryzen 5 5600X3D,,,CPU
Intel Core i7-11700,Intel Core i7-11700,249.44,Intel UHD Graphics 750,CPU
Intel Core i7-3770K,Intel Core i7-3770K,175.0,Intel HD Graphics 4000,CPU
Intel Core i3-8100,Intel Core i3-8100,110.0,Intel UHD Graphics 630,CPU
Intel Core i5-4590,Intel Core i5-4590,,Intel HD Graphics 4600,CPU
AMD Ryzen 5 1600X,AMD Ryzen 5 1600X,119.99,,CPU
Intel Xeon E5-2680 V4,Intel Xeon E5-2680 V4,1975.0,,CPU
Intel Core i7-11700KF,Intel Core i7-11700KF,244.27,,CPU
AMD FX-8350,AMD FX-8350,208.0,,CPU
Intel Core i5-4690,Intel Core i5-4690,51.43,Intel HD Graphics 4600,CPU
Intel Core i5-7600K,Intel Core i5-7600K,169.02,Intel HD Graphics 630,CPU
Intel Core i5-8500,Intel Core i5-8500,172.92,Intel UHD Graphics 630,CPU
Intel Core i9-9900KS,Intel Core i9-9900KS,1989.0,Intel UHD Graphics 630,CPU
Intel Core i9-13900,Intel Core i9-13900,490.0,Intel UHD Graphics 770,CPU
Intel Core i3-13100,Intel Core i3-13100,147.99,Intel UHD Graphics 730,CPU
AMD Ryzen 7 3700X,AMD Ryzen 7 3700X,,,CPU
Intel Core i3-4130,Intel Core i3-4130,41.13,Intel HD Graphics 4400,CPU
Intel Core i5-4460,Intel Core i5-4460,68.56,Intel HD Graphics 4600,CPU
AMD A6-6400K,AMD A6-6400K,75.0,Radeon HD 8470D,CPU
AMD Ryzen 7 1700X,AMD Ryzen 7 1700X,225.0,,CPU
AMD Ryzen 5 1400,AMD Ryzen 5 1400,110.0,,CPU
Intel Core i5-11600KF,Intel Core i5-11600KF,164.89,,CPU
AMD Ryzen 3 1200 (14nm),AMD Ryzen 3 1200 (14nm),105.0,,CPU
Intel Core i7-9700KF,Intel Core i7-9700KF,218.0,,CPU
AMD Ryzen 3 3300X,AMD Ryzen 3 3300X,150.0,,CPU
Intel Core i5-9400,Intel Core i5-9400,160.91,Intel UHD Graphics 630,CPU
AMD Ryzen 7 3800XT,AMD Ryzen 7 3800XT,349.99,,CPU
Intel Core i9-10980XE,Intel Core i9-10980XE,1200.0,,CPU
AMD Ryzen 9 3900XT,AMD Ryzen 9 3900XT,379.0,,CPU
AMD Threadripper 1900X,AMD Threadripper 1900X,109.99,,CPU
AMD Ryzen 5 3600XT,AMD Ryzen 5 3600XT,,,CPU
Intel Core i5-4570,Intel Core i5-4570,104.54,Intel HD Graphics 4600,CPU
Intel Core i3-7350K,Intel Core i3-7350K,40.0,Intel HD Graphics 630,CPU
AMD FX-6300,AMD FX-6300,,,CPU
Intel Core i3-10105,Intel Core i3-10105,89.95,Intel UHD Graphics 630,CPU
Intel Core i5-9600KF,Intel Core i5-9600KF,180.12,,CPU
Intel Core i9-10900F,Intel Core i9-10900F,259.99,,CPU
Intel Core i5-6400,Intel Core i5-6400,,Intel HD Graphics 530,CPU
AMD Athlon 3000G (14nm),AMD Athlon 3000G (14nm),,Radeon Vega 3,CPU
AMD Ryzen 5 3600,AMD Ryzen 5 3600,,,CPU
AMD Ryzen 5 3500,AMD Ryzen 5 3500,,,CPU
Intel Core i9-13900F,Intel Core i9-13900F,549.99,,CPU
AMD Ryzen 7 1800X,AMD Ryzen 7 1800X,235.0,,CPU
AMD Ryzen 5 1500X,AMD Ryzen 5 1500X,195.0,,CPU
Intel Core i5-2400,Intel Core i5-2400,,Intel HD Graphics 2000,CPU
AMD Threadripper 2990WX,AMD Threadripper 2990WX,2500.0,,CPU
Intel Core i7-2600,Intel Core i7-2600,188.49,Intel HD Graphics 2000,CPU
Intel Core i5-4670K,Intel Core i5-4670K,62.0,Intel HD Graphics 4600,CPU
Intel Core i3-7100,Intel Core i3-7100,70.0,Intel HD Graphics 630,CPU
Intel Core i7-4790K,Intel Core i7-4790K,185.0,Intel HD Graphics 4600,CPU
Intel 300,Intel 300,88.1,Intel UHD Graphics 710,CPU
Intel Xeon E5-2630,Intel Xeon E5-2630,24.28,,CPU
Intel Core i9-11900F,Intel Core i9-11900F,210.0,,CPU
Intel Core i7-8700K,Intel Core i7-8700K,272.5,Intel UHD Graphics 630,CPU
Intel Core i7-2600K,Intel Core i7-2600K,85.0,Intel HD Graphics 3000,CPU
Intel Core i5-3570K,Intel Core i5-3570K,116.49,Intel HD Graphics 4000,CPU
Intel Xeon E5-2683 V4,Intel Xeon E5-2683 V4,1998.95,,CPU
Intel Core i5-7600,Intel Core i5-7600,89.0,Intel HD Graphics 630,CPU
Intel Core i3-6100,Intel Core i3-6100,100.0,Intel HD Graphics 530,CPU
Intel Core i5-10500,Intel Core i5-10500,238.99,Intel UHD Graphics 630,CPU
AMD Ryzen 9 PRO 7945,AMD Ryzen 9 PRO 7945,,Radeon,CPU
AMD Threadripper 1920X,AMD Threadripper 1920X,270.0,,CPU
AMD Athlon II X2 240,AMD Athlon II X2 240,29.48,,CPU
Intel Core i5-3570,Intel Core i5-3570,,Intel HD Graphics 2500,CPU
Intel Core i5-6600,Intel Core i5-6600,,Intel HD Graphics 530,CPU
Intel Core i7-6800K,Intel Core i7-6800K,103.0,,CPU
Intel Celeron G4900,Intel Celeron G4900,48.59,Intel UHD Graphics 610,CPU
Intel Core i7-6900K,Intel Core i7-6900K,120.0,,CPU
AMD Ryzen 3 3200G,AMD Ryzen 3 3200G,,Radeon Vega 8,CPU
Intel Core i5-12600,Intel Core i5-12600,337.11,Intel UHD Graphics 770,CPU
Intel Pentium Gold G7400,Intel Pentium Gold G7400,102.73,Intel UHD Graphics 710,CPU
Intel Core i7-5820K,Intel Core i7-5820K,,,CPU
Intel Core i5-2500K,Intel Core i5-2500K,,Intel HD Graphics 3000,CPU
Intel Pentium G640,Intel Pentium G640,30.0,Intel HD Graphics,CPU
Intel Core i9-9900K,Intel Core i9-9900K,699.99,Intel UHD Graphics 630,CPU
Intel Core i5-11600,Intel Core i5-11600,140.0,Intel UHD Graphics 750,CPU
AMD Athlon X4 845,AMD Athlon X4 845,50.0,,CPU
Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,27.55,,CPU
Intel Core i5-9400F,Intel Core i5-9400F,,,CPU
Intel Core i7-4930K,Intel Core i7-4930K,100.0,,CPU
AMD Threadripper 1950X,AMD Threadripper 1950X,914.29,,CPU
Intel Xeon E5-2650 V4,Intel Xeon E5-2650 V4,,,CPU
Intel Core i9-12900F,Intel Core i9-12900F,432.99,,CPU
Intel Core i5-9500,Intel Core i5-9500,160.74,Intel UHD Graphics 630,CPU
Intel Xeon E5-2640 V3,Intel Xeon E5-2640 V3,67.15,,CPU
Intel Celeron G4930,Intel Celeron G4930,48.75,Intel UHD Graphics 610,CPU
Intel Core i9-10900X,Intel Core i9-10900X,615.0,,CPU
Intel Core i3-9100,Intel Core i3-9100,145.0,Intel UHD Graphics 630,CPU
AMD 2650,AMD 2650,84.71,Radeon HD 8240,CPU
Intel Core i3-4150,Intel Core i3-4150,41.13,Intel HD Graphics 4400,CPU
Intel Core i9-10900,Intel Core i9-10900,275.7,Intel UHD Graphics 630,CPU
Intel Core i9-12900,Intel Core i9-12900,458.0,Intel UHD Graphics 770,CPU
Intel Core i9-7960X,Intel Core i9-7960X,347.48,,CPU
Intel Celeron 420,Intel Celeron 420,75.44,,CPU
AMD Threadripper 2950X,AMD Threadripper 2950X,1075.0,,CPU
Intel Core i5-11500,Intel Core i5-11500,146.16,Intel UHD Graphics 750,CPU
Intel Core i9-9900,Intel Core i9-9900,464.15,Intel UHD Graphics 630,CPU
Intel Core i9-13900T,Intel Core i9-13900T,,Intel UHD Graphics 770,CPU
Intel Core i5-7500T,Intel Core i5-7500T,67.63,Intel HD Graphics 630,CPU
Intel Core i7-4790,Intel Core i7-4790,,Intel HD Graphics 4600,CPU
Intel Core i7-8086K,Intel Core i7-8086K,450.01,Intel UHD Graphics 630,CPU
Intel Core i5-6500,Intel Core i5-6500,,Intel HD Graphics 530,CPU
AMD Ryzen 9 3900X,AMD Ryzen 9 3900X,,,CPU
Intel Core i7-8700,Intel Core i7-8700,611.05,Intel UHD Graphics 630,CPU
AMD FX-8320,AMD FX-8320,175.0,,CPU
Intel Core i3-12100T,Intel Core i3-12100T,,Intel UHD Graphics 730,CPU
Intel Pentium E5700,Intel Pentium E5700,19.98,,CPU
Intel Core i9-7900X,Intel Core i9-7900X,400.0,,CPU
Intel Core i7-2700K,Intel Core i7-2700K,89.0,Intel HD Graphics 3000,CPU
Intel Core i7-7700,Intel Core i7-7700,329.95,Intel HD Graphics 630,CPU
Intel Core i5-8400,Intel Core i5-8400,249.95,Intel UHD Graphics 630,CPU
Intel Core i7-7740X,Intel Core i7-7740X,235.0,,CPU
Intel Xeon E5-1650 V4,Intel Xeon E5-1650 V4,84.94,,CPU
Intel Core i7-7800X,Intel Core i7-7800X,489.99,,CPU
Intel Pentium Gold G6400,Intel Pentium Gold G6400,74.99,Intel UHD Graphics 610,CPU
Intel Core i9-10940X,Intel Core i9-10940X,780.0,,CPU
Intel Core i5-4440,Intel Core i5-4440,100.0,Intel HD Graphics 4600,CPU
Intel Core i5-4670,Intel Core i5-4670,51.48,Intel HD Graphics 4600,CPU
Intel Celeron E3500,Intel Celeron E3500,14.99,,CPU
Intel Core i5-8600,Intel Core i5-8600,188.38,Intel UHD Graphics 630,CPU
Intel Core i9-9900K (Standard Folding Box),Intel Core i9-9900K (Standard Folding Box),406.96,Intel UHD Graphics 630,CPU
AMD Ryzen 3 1300X,AMD Ryzen 3 1300X,,,CPU
Intel Xeon E5-2667 V3,Intel Xeon E5-2667 V3,1008.93,,CPU
AMD Ryzen 5 2600,AMD Ryzen 5 2600,,,CPU
Intel Core i9-11900,Intel Core i9-11900,269.99,Intel UHD Graphics 750,CPU
AMD FX-9590,AMD FX-9590,302.58,,CPU
Intel Core i5-8500T,Intel Core i5-8500T,,Intel UHD Graphics 630,CPU
AMD Ryzen 3 1200 (12nm),AMD Ryzen 3 1200 (12nm),105.0,,CPU
AMD Ryzen 5 3600,AMD Ryzen 5 3600,262.86,,CPU
Intel Core i5-2500,Intel Core i5-2500,,Intel HD Graphics 2000,CPU
Intel Core i3-2100,Intel Core i3-2100,49.0,Intel HD Graphics 2000,CPU
AMD Ryzen 5 2600X,AMD Ryzen 5 2600X,,,CPU
Intel Xeon E5-2683 V4,Intel Xeon E5-2683 V4,189.95,,CPU
Intel Core i9-10850KA Avengers Limited Edition,Intel Core i9-10850KA Avengers Limited Edition,,Intel UHD Graphics 630,CPU
Intel Celeron G3900,Intel Celeron G3900,39.9,Intel HD Graphics 510,CPU
Intel Core i7-6850K,Intel Core i7-6850K,115.0,,CPU
Intel Core i3-4170,Intel Core i3-4170,,Intel HD Graphics 4400,CPU
Intel Core i7-7700K,Intel Core i7-7700K,,Intel HD Graphics 630,CPU
Intel Core i9-7980XE,Intel Core i9-7980XE,1156.2,,CPU
Intel Xeon E5-2698 V3,Intel Xeon E5-2698 V3,,,CPU
Intel Core i3-3220,Intel Core i3-3220,,Intel HD Graphics 2500,CPU
AMD FX-8370,AMD FX-8370,234.98,,CPU
AMD Ryzen 5 3600X,AMD Ryzen 5 3600X,,,CPU
Intel Celeron G5905,Intel Celeron G5905,,Intel UHD Graphics 610,CPU
AMD Threadripper 2970WX,AMD Threadripper 2970WX,1099.99,,CPU
Intel Core i7-9700F,Intel Core i7-9700F,395.34,,CPU
Intel Core i7-4820K,Intel Core i7-4820K,205.86,,CPU
Intel Core i7-5930K,Intel Core i7-5930K,,,CPU
AMD Threadripper 2920X,AMD Threadripper 2920X,707.8,,CPU
AMD A4-6300,AMD A4-6300,46.79,Radeon HD 8370D,CPU
AMD Ryzen 7 3800X,AMD Ryzen 7 3800X,,,CPU
Intel Core i5-13500T,Intel Core i5-13500T,,Intel UHD Graphics 770,CPU
AMD Athlon X2 340,AMD Athlon X2 340,,,CPU
Intel Pentium G4560,Intel Pentium G4560,133.41,Intel HD Graphics 610,CPU
Intel Xeon E5-2697 V4,Intel Xeon E5-2697 V4,,,CPU
AMD FX-8300,AMD FX-8300,117.33,,CPU
Intel Core i7-9700K,Intel Core i7-9700K,,Intel UHD Graphics 630,CPU
Intel Core i7-6700K,Intel Core i7-6700K,,Intel HD Graphics 530,CPU
Intel Core i3-2120,Intel Core i3-2120,150.59,Intel HD Graphics 2000,CPU
Intel Core i7-7820X,Intel Core i7-7820X,,,CPU
Intel Core i5-13600,Intel Core i5-13600,,Intel UHD Graphics 770,CPU
AMD 5350,AMD 5350,,Radeon HD 8400,CPU
Intel Core i5-9400,Intel Core i5-9400,110.0,Intel UHD Graphics 630,CPU
Intel Core i3-4160,Intel Core i3-4160,,Intel HD Graphics 4400,CPU
Intel Core i5-3470S,Intel Core i5-3470S,50.0,Intel HD Graphics 2500,CPU
Intel Core i7-6950X,Intel Core i7-6950X,506.35,,CPU
Intel Core i7-5960X,Intel Core i7-5960X,,,CPU
Intel Core i9-10920X,Intel Core i9-10920X,799.0,,CPU
Intel Xeon E5-2630 V3,Intel Xeon E5-2630 V3,169.95,,CPU
Intel Core i5-7400T,Intel Core i5-7400T,,Intel HD Graphics 630,CPU
Intel Pentium G2020,Intel Pentium G2020,34.99,Intel HD Graphics,CPU
Intel Pentium Gold G5400,Intel Pentium Gold G5400,72.95,Intel UHD Graphics 610,CPU
Intel Core i9-9980XE,Intel Core i9-9980XE,1498.95,,CPU
Intel Xeon E5-1650 V3,Intel Xeon E5-1650 V3,54.46,,CPU
Intel Core i7-6700,Intel Core i7-6700,354.99,Intel HD Graphics 530,CPU
Intel Xeon E5-2687W V4,Intel Xeon E5-2687W V4,1900.16,,CPU
Intel Core i7-13700T,Intel Core i7-13700T,,,CPU
Intel Core i5-9600K,Intel Core i5-9600K,,Intel UHD Graphics 630,CPU
AMD FX-6350,AMD FX-6350,100.0,,CPU
Intel Core i7-3930K,Intel Core i7-3930K,298.98,,CPU
Intel Xeon E5-2699 V3,Intel Xeon E5-2699 V3,,,CPU
Intel Core i5-3330,Intel Core i5-3330,,Intel HD Graphics 2500,CPU
Intel Core i7-980X Extreme Edition,Intel Core i7-980X Extreme Edition,153.64,,CPU
Intel Xeon E5-2690 V4,Intel Xeon E5-2690 V4,1025.58,,CPU
Intel Core i5-10600,Intel Core i5-10600,349.95,Intel UHD Graphics 630,CPU
Intel Core i5-3450,Intel Core i5-3450,59.0,Intel HD Graphics 2500,CPU
Intel Xeon E5-2697 V2,Intel Xeon E5-2697 V2,,,CPU
AMD Ryzen 7 1700X,AMD Ryzen 7 1700X,,,CPU
Intel Core i7-9700,Intel Core i7-9700,299.8,Intel HD Graphics 630,CPU
Intel Core i3-4370,Intel Core i3-4370,41.13,Intel HD Graphics 4600,CPU
Intel Core i3-13100T,Intel Core i3-13100T,,Intel UHD Graphics 730,CPU
AMD Ryzen 9 3900,AMD Ryzen 9 3900,,,CPU
Intel Core i3-7100T,Intel Core i3-7100T,41.13,Intel HD Graphics 630,CPU
AMD A6-9500,AMD A6-9500,76.69,Radeon R5 (on die),CPU
AMD A8-7600,AMD A8-7600,,Radeon R7 (on-die),CPU
Intel Core i7-870,Intel Core i7-870,100.0,,CPU
Intel Core 2 Quad Q9550,Intel Core 2 Quad Q9550,52.55,,CPU
